"SchoolYear","State","LEA_ID","LEA","Group","Description","Value","Value_Min","Value_Max","Denominator","Grade","Subject"
"2016-2017","OHIO",3905041,"Carlisle Local",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,116,"High School","Mathematics"
"2016-2017","OHIO",3905042,"Springboro Community City",583,"Performance on Statewide Mathematics Assessment","76",76,76,474,"High School","Mathematics"
"2016-2017","OHIO",3905043,"Kings Local",583,"Performance on Statewide Mathematics Assessment","65-69",65,69,280,"High School","Mathematics"
"2016-2017","OHIO",3905044,"Little Miami Local",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,154,"High School","Mathematics"
"2016-2017","OHIO",3905045,"Mason City",583,"Performance on Statewide Mathematics Assessment","88",88,88,751,"High School","Mathematics"
"2016-2017","OHIO",3905046,"Wayne Local",583,"Performance on Statewide Mathematics Assessment","70-74",70,74,106,"High School","Mathematics"
"2016-2017","OHIO",3905048,"Fort Frye Local",583,"Performance on Statewide Mathematics Assessment","30-34",30,34,74,"High School","Mathematics"
"2016-2017","OHIO",3905049,"Frontier Local",583,"Performance on Statewide Mathematics Assessment","30-39",30,39,32,"High School","Mathematics"
"2016-2017","OHIO",3905051,"Wolf Creek Local",583,"Performance on Statewide Mathematics Assessment","40-49",40,49,48,"High School","Mathematics"
"2016-2017","OHIO",3905052,"Tri-County ESC",583,"Performance on Statewide Mathematics Assessment","PS",NA,NA,1,"High School","Mathematics"
"2016-2017","OHIO",3905053,"Chippewa Local",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,115,"High School","Mathematics"
"2016-2017","OHIO",3905054,"Dalton Local",583,"Performance on Statewide Mathematics Assessment","40-49",40,49,53,"High School","Mathematics"
"2016-2017","OHIO",3905055,"Green Local",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,77,"High School","Mathematics"
"2016-2017","OHIO",3905056,"Norwayne Local",583,"Performance on Statewide Mathematics Assessment","70-74",70,74,126,"High School","Mathematics"
"2016-2017","OHIO",3905058,"Southeast Local",583,"Performance on Statewide Mathematics Assessment","65-69",65,69,82,"High School","Mathematics"
"2016-2017","OHIO",3905059,"Triway Local",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,113,"High School","Mathematics"
"2016-2017","OHIO",3905061,"Edgerton Local",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,63,"High School","Mathematics"
"2016-2017","OHIO",3905062,"Edon Northwest Local",583,"Performance on Statewide Mathematics Assessment","40-59",40,59,25,"High School","Mathematics"
"2016-2017","OHIO",3905063,"Millcreek-West Unity Local",583,"Performance on Statewide Mathematics Assessment","60-69",60,69,34,"High School","Mathematics"
"2016-2017","OHIO",3905064,"North Central Local",583,"Performance on Statewide Mathematics Assessment","40-49",40,49,37,"High School","Mathematics"
"2016-2017","OHIO",3905065,"Stryker Local",583,"Performance on Statewide Mathematics Assessment","60-79",60,79,29,"High School","Mathematics"
"2016-2017","OHIO",3905067,"Eastwood Local",583,"Performance on Statewide Mathematics Assessment","85-89",85,89,102,"High School","Mathematics"
"2016-2017","OHIO",3905068,"Elmwood Local",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,77,"High School","Mathematics"
"2016-2017","OHIO",3905069,"Lake Local",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,121,"High School","Mathematics"
"2016-2017","OHIO",3905070,"North Baltimore Local",583,"Performance on Statewide Mathematics Assessment","50-59",50,59,41,"High School","Mathematics"
"2016-2017","OHIO",3905071,"Northwood Local Schools",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,65,"High School","Mathematics"
"2016-2017","OHIO",3905072,"Otsego Local",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,119,"High School","Mathematics"
"2016-2017","OHIO",3905074,"Mohawk Local",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,69,"High School","Mathematics"
"2016-2017","OHIO",3905149,"Scioto County Career Technical Center",583,"Performance on Statewide Mathematics Assessment","LT50",0,50,7,"High School","Mathematics"
"2016-2017","OHIO",3906190,"Adams County Ohio Valley Local",583,"Performance on Statewide Mathematics Assessment","30-34",30,34,245,"High School","Mathematics"
"2016-2017","OHIO",3906568,"Gallia County Local",583,"Performance on Statewide Mathematics Assessment","25-29",25,29,222,"High School","Mathematics"
"2016-2017","OHIO",3906968,"East Guernsey Local",583,"Performance on Statewide Mathematics Assessment","40-44",40,44,77,"High School","Mathematics"
"2016-2017","OHIO",3910000,"Findlay City",583,"Performance on Statewide Mathematics Assessment","58",58,58,343,"High School","Mathematics"
"2016-2017","OHIO",3910001,"Van Buren Local",583,"Performance on Statewide Mathematics Assessment","70-74",70,74,86,"High School","Mathematics"
"2016-2017","OHIO",3910002,"Arcadia Local",583,"Performance on Statewide Mathematics Assessment","60-69",60,69,47,"High School","Mathematics"
"2016-2017","OHIO",3910003,"Sidney City",583,"Performance on Statewide Mathematics Assessment","25-29",25,29,252,"High School","Mathematics"
"2016-2017","OHIO",3910004,"Anna Local",583,"Performance on Statewide Mathematics Assessment","90-94",90,94,89,"High School","Mathematics"
"2016-2017","OHIO",3910005,"Jackson Center Local",583,"Performance on Statewide Mathematics Assessment","40-59",40,59,23,"High School","Mathematics"
"2016-2017","OHIO",3910006,"Salem City",583,"Performance on Statewide Mathematics Assessment","40-44",40,44,140,"High School","Mathematics"
"2016-2017","OHIO",3910007,"Leetonia Exempted Village",583,"Performance on Statewide Mathematics Assessment","60-69",60,69,48,"High School","Mathematics"
"2016-2017","OHIO",3910008,"Crestline Exempted Village",583,"Performance on Statewide Mathematics Assessment","11-19",11,19,46,"High School","Mathematics"
"2016-2017","OHIO",3910009,"Shelby City",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,152,"High School","Mathematics"
